File,Status
wormA01.tif,alive
wormA02.tif,alive
wormA03.tif,alive
wormA04.tif,alive
wormA05.tif,alive
wormA06.tif,alive
wormA07.tif,alive
wormA08.tif,alive
wormA09.tif,alive
wormA10.tif,alive
wormA11.tif,alive
wormA12.tif,alive
wormA13.tif,dead
wormA14.tif,dead
wormA15.tif,dead
wormA16.tif,dead
wormA17.tif,dead
wormA18.tif,dead
wormA19.tif,dead
wormA20.tif,dead
wormA21.tif,dead
wormA22.tif,dead
wormA23.tif,dead
wormA24.tif,dead
wormB01.tif,alive
wormB02.tif,alive
wormB03.tif,alive
wormB04.tif,alive
wormB05.tif,alive
wormB06.tif,alive
wormB07.tif,alive
wormB08.tif,alive
wormB09.tif,alive
wormB10.tif,alive
wormB11.tif,alive
wormB12.tif,alive
wormB13.tif,dead
wormB14.tif,dead
wormB15.tif,dead
wormB16.tif,dead
wormB17.tif,dead
wormB18.tif,dead
wormB19.tif,dead
wormB20.tif,dead
wormB21.tif,dead
wormB22.tif,dead
wormB23.tif,dead
wormB24.tif,dead
wormC01.tif,alive
wormC02.tif,alive
wormC03.tif,alive
wormC04.tif,alive
wormC05.tif,alive
wormC06.tif,alive
wormC07.tif,alive
wormC08.tif,alive
wormC09.tif,alive
wormC10.tif,alive
wormC11.tif,alive
wormC12.tif,alive
wormC15.tif,dead
wormC16.tif,dead
wormC17.tif,dead
wormC18.tif,dead
wormC19.tif,dead
wormC20.tif,dead
wormC21.tif,dead
wormC22.tif,dead
wormC23.tif,dead
wormC24.tif,dead
wormD01.tif,alive
wormD02.tif,alive
wormD03.tif,alive
wormD04.tif,alive
wormD05.tif,alive
wormD06.tif,alive
wormD07.tif,alive
wormD08.tif,alive
wormD09.tif,alive
wormD10.tif,alive
wormD11.tif,alive
wormD12.tif,alive
wormD13.tif,dead
wormD14.tif,dead
wormD15.tif,dead
wormD16.tif,dead
wormD17.tif,dead
wormD18.tif,dead
wormD19.tif,dead
wormD20.tif,dead
wormD21.tif,dead
wormD22.tif,dead
wormD23.tif,dead
